2022-08-05 20:11:25 | testABS::main | INFO | foo.py start
2022-08-05 20:12:29 | font_manager::_findfont_cached | WARNING | findfont: Font family ['Kohinoor Devanagari'] not found. Falling back to DejaVu Sans.
2022-08-05 20:12:29 | font_manager::_findfont_cached | WARNING | findfont: Font family ['Kohinoor Devanagari'] not found. Falling back to DejaVu Sans.
2022-08-05 20:12:29 | _mathtext::_get_glyph | INFO | Substituting symbol 1 from STIXGeneral
2022-08-05 20:12:29 | _mathtext::_get_glyph | INFO | Substituting symbol 0 from STIXGeneral
2022-08-05 20:12:29 | _mathtext::_get_glyph | INFO | Substituting symbol - from STIXGeneral
2022-08-05 20:12:29 | _mathtext::_get_glyph | INFO | Substituting symbol 3 from STIXGeneral
2022-08-05 20:12:29 | _mathtext::_get_glyph | INFO | Substituting symbol - from STIXGeneral
2022-08-05 20:12:29 | _mathtext::_get_glyph | INFO | Substituting symbol 3 from STIXGeneral
2022-08-05 20:12:29 | font_manager::_findfont_cached | WARNING | findfont: Font family ['Kohinoor Devanagari'] not found. Falling back to DejaVu Sans.
2022-08-05 20:12:31 | _mathtext::_get_glyph | INFO | Substituting symbol 1 from STIXGeneral
2022-08-05 20:12:31 | _mathtext::_get_glyph | INFO | Substituting symbol 0 from STIXGeneral
2022-08-05 20:12:31 | _mathtext::_get_glyph | INFO | Substituting symbol - from STIXGeneral
2022-08-05 20:12:31 | _mathtext::_get_glyph | INFO | Substituting symbol 3 from STIXGeneral
2022-08-05 20:12:31 | _mathtext::_get_glyph | INFO | Substituting symbol - from STIXGeneral
2022-08-05 20:12:31 | _mathtext::_get_glyph | INFO | Substituting symbol 3 from STIXGeneral
2022-08-05 20:12:31 | _mathtext::_get_glyph | INFO | Substituting symbol 1 from STIXGeneral
2022-08-05 20:12:31 | _mathtext::_get_glyph | INFO | Substituting symbol 0 from STIXGeneral
2022-08-05 20:12:31 | _mathtext::_get_glyph | INFO | Substituting symbol - from STIXGeneral
2022-08-05 20:12:31 | _mathtext::_get_glyph | INFO | Substituting symbol 3 from STIXGeneral
2022-08-05 20:12:31 | _mathtext::_get_glyph | INFO | Substituting symbol - from STIXGeneral
2022-08-05 20:12:31 | _mathtext::_get_glyph | INFO | Substituting symbol 3 from STIXGeneral
2022-08-05 20:12:32 | testABS::main | INFO | foo.py end
